ward_id,ward_name,city,year,median_price_sqft,crime_rate_per_1000,avg_aqi
3,Atturu,Bengaluru,2021,12637.556704612416,6.3754412876971065,76.63070028288745
3,Atturu,Bengaluru,2022,17124.47712655097,5.068434204228085,95.17956861624766
3,Atturu,Bengaluru,2023,17633.11928097889,6.969087892256616,86.24752818873077
3,Atturu,Bengaluru,2024,17253.07728506962,5.627337774419663,85.40599764129402
17,Chikkasandra,Bengaluru,2021,17765.598950895263,8.614366515698327,108.98660485247854
17,Chikkasandra,Bengaluru,2022,17664.359321260657,8.913014478589364,136.89652872840236
17,Chikkasandra,Bengaluru,2023,18025.791567511344,8.71413972912297,130.4400572319404
17,Chikkasandra,Bengaluru,2024,10496.599793387491,7.867375440976047,103.47233032828147
15,Kammagondanahalli,Bengaluru,2021,15932.325636543497,6.445806498598433,89.95275847451964
15,Kammagondanahalli,Bengaluru,2022,15217.99288749602,7.255574717286166,86.48754240944203
15,Kammagondanahalli,Bengaluru,2023,7189.121329792419,7.802425514216248,108.5804135465639
15,Kammagondanahalli,Bengaluru,2024,13469.03055288807,8.42858139385366,125.16815656665511
16,Mallasandra,Bengaluru,2021,11489.480299926843,7.22895385502219,93.72541188636832
16,Mallasandra,Bengaluru,2022,16486.374092325997,6.153639525690346,108.22848749671395
16,Mallasandra,Bengaluru,2023,11230.867331901825,6.845968696441339,85.3668528032954
16,Mallasandra,Bengaluru,2024,14309.23021789678,7.08000057867417,81.68587959382523
18,Bagalakunte,Bengaluru,2021,9840.54826901446,3.5061558038732543,71.88414215537011
18,Bagalakunte,Bengaluru,2022,7772.179667688215,4.761877881416351,74.73333702571685
18,Bagalakunte,Bengaluru,2023,15274.22632306652,3.473001185620983,42.39165989731168
18,Bagalakunte,Bengaluru,2024,13933.530434510023,4.854292782904662,53.56380213070484
19,T Dasarahalli,Bengaluru,2021,9966.945165462279,4.569525417040373,60.56662354855392
19,T Dasarahalli,Bengaluru,2022,6726.680577158646,4.659995382760944,94.05990418598404
19,T Dasarahalli,Bengaluru,2023,16416.847841127405,5.115032993088193,91.25850969773555
19,T Dasarahalli,Bengaluru,2024,8665.160269526297,3.9318892934798755,84.6517187917719
37,Peenya,Bengaluru,2021,5735.725520263139,4.43507771228089,72.7074658265978
37,Peenya,Bengaluru,2022,12574.069328335449,4.1939661398273875,82.11026528033298
37,Peenya,Bengaluru,2023,5949.302034462147,3.030712543109683,66.98109487885571
37,Peenya,Bengaluru,2024,9889.122943000026,4.496557424770313,65.39913411688119
20,Nalagadarenahalli,Bengaluru,2021,6876.890423551968,8.035587204540752,114.84759182839939
20,Nalagadarenahalli,Bengaluru,2022,18479.29723068517,6.97905984934501,100.84360570178326
20,Nalagadarenahalli,Bengaluru,2023,7404.25056116237,7.344087408074635,133.1769093011894
20,Nalagadarenahalli,Bengaluru,2024,14697.25154246579,8.34433798785788,146.5174523706477
21,Chokkasandra,Bengaluru,2021,17855.320929833233,6.809848371364604,109.2516072312187
21,Chokkasandra,Bengaluru,2022,13551.514010578143,7.006594842306782,111.83518695209949
21,Chokkasandra,Bengaluru,2023,14358.150165551264,7.231541805141759,116.12076634872349
21,Chokkasandra,Bengaluru,2024,17376.559046342823,7.189488861177016,110.02869331438256
67,Ganga Nagar,Bengaluru,2021,13905.763829016927,6.642827829794993,91.97237119611555
67,Ganga Nagar,Bengaluru,2022,7210.114688167739,8.007046252342432,121.40361339180527
67,Ganga Nagar,Bengaluru,2023,16971.293176297568,8.176850994597414,135.75302994293475
67,Ganga Nagar,Bengaluru,2024,13884.37623640745,6.83476297244559,87.31729420919832
22,Peenya Industrial Area,Bengaluru,2021,11598.278536475802,3.17790812676321,66.98268793713525
22,Peenya Industrial Area,Bengaluru,2022,13525.74131512393,4.906875401183187,57.960251917555325
22,Peenya Industrial Area,Bengaluru,2023,15752.70152684499,3.0783373370135614,35.23842574265501
22,Peenya Industrial Area,Bengaluru,2024,6735.324616825661,3.968864669674033,71.87767094366761
23,Rajagopal Nagar,Bengaluru,2021,14996.401231745944,8.775414546049545,120.98872687181016
23,Rajagopal Nagar,Bengaluru,2022,9234.930989543322,7.256466609724495,104.87068678858674
23,Rajagopal Nagar,Bengaluru,2023,9132.351565892393,9.00383843786486,121.9821980826218
23,Rajagopal Nagar,Bengaluru,2024,13112.59958713875,7.497205642314427,103.63938412548151
63,Hebbala,Bengaluru,2021,7701.128874373996,7.015010991913461,132.51926863437586
63,Hebbala,Bengaluru,2022,14180.492024238101,8.135272091335223,124.01472904350113
63,Hebbala,Bengaluru,2023,12947.582066973828,7.539974955437967,125.3597750635941
63,Hebbala,Bengaluru,2024,7129.907057766322,6.992449391546765,114.30513704006364
24,Hegganahalli,Bengaluru,2021,14858.85744510577,4.20050117762851,63.90145830253747
24,Hegganahalli,Bengaluru,2022,8882.294968075343,4.127808773156148,75.97931733655416
24,Hegganahalli,Bengaluru,2023,6630.693818670284,5.110442777114081,75.46414812686422
24,Hegganahalli,Bengaluru,2024,6266.9975165579945,4.100300594005591,53.85643885522863
25,Sunkadakatte,Bengaluru,2021,15226.226722392463,4.663517395981531,94.3478938909204
25,Sunkadakatte,Bengaluru,2022,14521.972788041689,3.917890354257025,76.23067258875278
25,Sunkadakatte,Bengaluru,2023,8716.194689377808,4.152614573797964,64.2234812525809
25,Sunkadakatte,Bengaluru,2024,6210.224932600496,4.20817600440297,72.64306319128526
26,Dodda Bidarakallu,Bengaluru,2021,11316.554525967098,4.959988216679844,93.67355796441453
26,Dodda Bidarakallu,Bengaluru,2022,16628.666086096317,4.434897741573712,90.38622961846798
26,Dodda Bidarakallu,Bengaluru,2023,7672.804520825992,3.639545895239668,78.44872962564435
26,Dodda Bidarakallu,Bengaluru,2024,9953.829407674702,3.8175078330681433,81.49050596850455
30,Nagadevanahalli,Bengaluru,2021,8629.397108156556,5.563959349929934,79.74784231596328
30,Nagadevanahalli,Bengaluru,2022,13416.828970153256,5.536447109338911,88.4898487490168
30,Nagadevanahalli,Bengaluru,2023,7422.096410780517,4.4825398533017795,91.2910691367884
30,Nagadevanahalli,Bengaluru,2024,9695.387065147623,4.677790440742399,88.68976558247248
27,Lingadheeranahalli,Bengaluru,2021,9092.347366300239,5.903924720927498,115.83027183330957
27,Lingadheeranahalli,Bengaluru,2022,8471.000856986177,7.023729583830286,105.10649114091045
27,Lingadheeranahalli,Bengaluru,2023,12455.59139845294,6.93663809321094,97.08613130954426
27,Lingadheeranahalli,Bengaluru,2024,14723.292700650643,5.5090785454214,113.8384485691826
28,Herohalli,Bengaluru,2021,11208.218270251476,5.748868347137409,88.74655148928525
28,Herohalli,Bengaluru,2022,12873.80054380429,6.526673027654946,98.60527333602118
28,Herohalli,Bengaluru,2023,12370.1248791349,4.952278565403714,80.22520519046031
28,Herohalli,Bengaluru,2024,7872.088344708739,6.0563001890342045,88.56701708986448
29,Ullalu,Bengaluru,2021,5650.59253775871,4.983653662876371,71.15541698866583
29,Ullalu,Bengaluru,2022,11763.37437542886,4.830140436647402,102.85919182974398
29,Ullalu,Bengaluru,2023,6141.5540882827545,4.540069102988087,92.33696339113149
29,Ullalu,Bengaluru,2024,10450.455768504506,5.412280342526421,59.69585991429367
35,Yeshwanthpura,Bengaluru,2021,14134.48369764765,6.123458849420351,87.88144123567108
35,Yeshwanthpura,Bengaluru,2022,9103.933657731259,5.712844908669495,84.45794984171063
35,Yeshwanthpura,Bengaluru,2023,7655.912098036861,5.964651845358166,86.06334773704737
35,Yeshwanthpura,Bengaluru,2024,9766.02787175724,6.94104408096148,113.45399432353528
31,Bande Mutt,Bengaluru,2021,10569.123702837629,4.0500620384767805,56.708756760280686
31,Bande Mutt,Bengaluru,2022,12999.98393619519,5.655281207488045,68.18769208657187
31,Bande Mutt,Bengaluru,2023,15690.182723337668,4.64122838682939,65.18270418797067
31,Bande Mutt,Bengaluru,2024,12909.315423505619,5.4042580249718855,82.72079008538472
36,Jalahalli,Bengaluru,2021,5756.957420490443,4.351250751987332,91.15993971359373
36,Jalahalli,Bengaluru,2022,8341.530123611728,4.964451890749263,89.37748727267612
36,Jalahalli,Bengaluru,2023,7517.278717014877,4.099418007204577,90.38554008916918
36,Jalahalli,Bengaluru,2024,6858.115447268238,5.5666039141175885,80.67717673622901
52,Shakthi Ganapathi Nagar,Bengaluru,2021,12672.745885706767,5.242478623650643,81.29500869620895
52,Shakthi Ganapathi Nagar,Bengaluru,2022,12953.274516913414,5.952021027746009,104.02751872492479
52,Shakthi Ganapathi Nagar,Bengaluru,2023,14338.292128596171,5.1927866027083365,82.35873982584796
52,Shakthi Ganapathi Nagar,Bengaluru,2024,9087.801452273457,6.020924403883284,81.72902440258575
32,Kengeri,Bengaluru,2021,8292.86794398631,5.864493389725803,73.75937723738477
32,Kengeri,Bengaluru,2022,9043.124044487742,6.840107548107837,101.86335803375556
32,Kengeri,Bengaluru,2023,8187.7740878379045,5.484158776259007,112.57115874914615
32,Kengeri,Bengaluru,2024,17391.327949125855,6.951236754705376,70.83147142930032
33,Hemmigepura,Bengaluru,2021,9513.859068915448,8.231591344904652,128.11731357796853
33,Hemmigepura,Bengaluru,2022,13050.824864526967,6.307765115304258,116.14087559520388
33,Hemmigepura,Bengaluru,2023,17353.193982364923,7.461519996971664,123.02533680627829
33,Hemmigepura,Bengaluru,2024,15733.540085732997,7.803964582487348,107.12058958800876
34,JP Park,Bengaluru,2021,10456.515493985773,4.760214173929678,77.74468984465457
34,JP Park,Bengaluru,2022,6073.175436287098,4.613668612838114,59.5130499104354
34,JP Park,Bengaluru,2023,14644.343150209641,5.391850733918095,62.99588033480429
34,JP Park,Bengaluru,2024,17137.995024656157,4.323104573594735,84.37946917067057
41,Kottegepalya,Bengaluru,2021,8668.697845964452,6.931190222514949,97.41999931832703
41,Kottegepalya,Bengaluru,2022,17939.14048925998,6.5596621821390135,83.26303518758546
41,Kottegepalya,Bengaluru,2023,8679.786488911846,5.780434259886057,101.4399847378952
41,Kottegepalya,Bengaluru,2024,16840.491656305057,6.536909265438073,98.8693202890215
53,Vrisabhavathi Nagar,Bengaluru,2021,11033.02073320224,7.845772292639845,120.75097923425366
53,Vrisabhavathi Nagar,Bengaluru,2022,16427.292640404983,6.872459571016687,96.19869823313743
53,Vrisabhavathi Nagar,Bengaluru,2023,9534.84528547964,6.622185241546463,104.07353161307579
53,Vrisabhavathi Nagar,Bengaluru,2024,14891.905313148578,7.639347589448206,112.79776575314438
